order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,product_id,price,product_category_name,product_category_name_english
9defaf92cff22420e4e8ef7784815a55,64fb950e760ec8b0db79154a1fa9c1bf,delivered,2018-05-11 13:10:51,2018-05-11 13:36:50,cf944645d4ff2a3eed3ae17f641ea861,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
68b12ff83359aac4ddb4bcf1244b3a66,4be7a641296e9a4e87db08248257f4ef,delivered,2017-12-06 19:28:08,2017-12-08 02:34:32,cf944645d4ff2a3eed3ae17f641ea861,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
83924c36ceb82b354fa3408e645cb699,bd66021ab62baba3336997d620aa4a7d,delivered,2017-12-03 10:59:09,2017-12-03 12:11:56,cf944645d4ff2a3eed3ae17f641ea861,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
3dddd02cc38fbaa0a544a1e928aee40e,d2157e41ca09bbe3a232a528d658195c,delivered,2018-05-17 16:46:58,2018-05-18 16:58:18,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
75d064d09b807b1fe4b662a0b7611f8b,f4d9d59405e120b89dbc731ec632ae1f,delivered,2018-07-04 09:33:56,2018-07-05 16:34:36,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
2645613a9e103fee7499d4f4016b9586,c769d261fe94fe9791db6a2ec569efd9,delivered,2018-06-01 00:39:55,2018-06-01 02:33:09,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
f2ab8dadc7b9d7c7385ce34e48a2526e,f5e4b92cac2678c4948e15a55f0ce820,delivered,2018-01-29 13:24:32,2018-01-29 13:35:26,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
6568c925063764e35e36fa4a9b809937,5f7f9c1ee727aca3b625220c95177f4f,delivered,2018-05-09 23:01:52,2018-05-11 02:57:43,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
d9d4008eda3f55c6d4fff91cff923793,b6f67adc8721fca02d68c6882cb29cc9,delivered,2017-12-10 16:22:42,2017-12-12 03:53:04,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
b28eb422b41546e8ec8ab86afc836294,2dfbbbecae42828587b832a3c4d4a893,delivered,2018-02-05 19:24:40,2018-02-05 19:35:28,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
952df1e461dd66df573519eda08191f1,7c1870d97afb5c21263b8bbbfb850d7e,delivered,2017-08-16 19:02:40,2017-08-16 20:25:16,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
c6b9d214855dbd27b6a58f9738425f62,70da6bf62439a98c65f757d70c6a213d,delivered,2017-11-28 16:55:41,2017-11-30 02:25:13,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
93fd94c99b582fd7ccdf72b3721e34ea,35ce0b4b731e2f576d0facbccab90b77,delivered,2017-10-03 22:02:40,2017-10-06 09:56:18,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
0539e3f47ed27c984efee378a2aa7f07,a2c403073285474c9bb42414f75badde,delivered,2018-04-09 19:42:09,2018-04-10 04:11:08,a70d74f54feefedd8108c45553766340,49.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
fc0973ba8c96e67e0cfb458c1bac3a6a,95cca40cba8d9b592aa024f66b6ded35,delivered,2017-02-09 10:51:03,2017-02-09 11:03:42,540a6b4600d6620f58aaff20eba82574,24.99,fashion_underwear_e_moda_praia,fashion_underwear_beach
33c2860be7125d5f79547239ef5a8721,74516b8193a7f9118063c50052dfacb4,delivered,2017-03-17 12:03:40,2017-03-17 12:03:40,540a6b4600d6620f58aaff20eba82574,24.99,fashion_underwear_e_moda_praia,fashion_underwear_beach
bd396d4cd7a0507db99110954a0d9173,a71764704f63e605e020c4ae34aa78f6,delivered,2017-08-28 18:04:17,2017-08-28 18:15:14,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
27428009109805ea69e0638806aa97ef,b81d67e79a5c8f8960c71c26ff7763d0,delivered,2017-08-20 18:36:02,2017-08-20 18:50:15,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
f76a4a871a67dc644379c09dc683c967,c1b119e6aba121f22bbc8c84b41dd47a,delivered,2017-09-22 00:12:54,2017-09-22 00:30:14,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
7115f68b3dcb8f49a29394c0046e2a66,4f553648de87c57ab72ad47bca12fdf0,delivered,2017-09-25 09:26:43,2017-09-25 09:44:03,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
1ab115802be10ff22d8907afe81ba5b0,ba43fce88d51851ce5448562ea461800,delivered,2017-09-28 12:59:00,2017-09-30 02:28:36,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
f89be12959c54bfc8be493fa13fb2f10,c26825697ea58cdbdfc193608e320a26,delivered,2017-08-15 16:39:21,2017-08-15 18:15:22,1de74e63d630007567726953a4eb2b36,69.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
4a4bf6614444d2e3a7c20a87106ddc97,b7979573fc659753dd89544e555643bd,delivered,2017-11-30 15:42:04,2017-12-02 02:37:17,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
9f6db5df970e4f6210f284243da63804,a8d7ec51a5bea284fa021ca02a441b03,delivered,2018-02-28 07:59:44,2018-02-28 08:10:37,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
e658e8dc29fc5581482829dbcc127aac,be8bdf1e52f69c9b1759f5b44cfb44f3,shipped,2017-09-11 22:57:29,2017-09-13 03:26:15,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
f0c5109edd3bd711ebbffac37016ac1c,d6585a7cc48b6183f11641f735dd3f6e,delivered,2018-04-05 11:44:38,2018-04-05 11:55:29,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
1ad61c926dff6777c28e962510cc2c71,554df5e6a0e1f9a755932c72b72ce69f,delivered,2017-08-21 14:18:21,2017-08-21 14:30:19,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
e4701cf302a9b3cc9efc51f06f354ecf,715a4bb1f449f0b1594f8619a155d81f,delivered,2017-09-20 21:47:53,2017-09-23 10:45:32,1de74e63d630007567726953a4eb2b36,79.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
3d242cd631044a419d68e504892eacda,0509cd76cbe3a75f898826c212bb3b83,delivered,2017-09-04 14:53:31,2017-09-04 15:10:18,ce149636a055d9eded4cde55da9ebd3b,59.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
fdd5c1089ba5eeffbe95fd36269b6d5e,a3857fb1a0c5b32bc51f7011fafaff8c,delivered,2018-02-20 15:50:21,2018-02-20 16:08:49,ce149636a055d9eded4cde55da9ebd3b,59.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
cc6adfff0d6a6796585ca1d0901f0ea1,9a87ecffc7fa5774d977fa4630769a63,delivered,2018-01-10 22:36:31,2018-01-10 22:48:09,ce149636a055d9eded4cde55da9ebd3b,59.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
a3618e87bbadb70219347557df7d551f,5056f8f76b7bb8600571fec6d7e542ae,delivered,2018-01-05 15:55:31,2018-01-05 16:14:31,ce149636a055d9eded4cde55da9ebd3b,59.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
5ea6aff99c981e1b3a33743cbad8d546,e8b53c51f1889155d4c2bf79e684ab6e,delivered,2017-09-13 17:36:07,2017-09-13 17:55:15,ce149636a055d9eded4cde55da9ebd3b,59.9,fashion_underwear_e_moda_praia,fashion_underwear_beach
